ID,Brand,Variety,Style,Country,Stars
r4587,daebak,Ghost Pepper Spicy Chicken Flavour Dry Black Instant Noodles,Pack,Malaysia,3.75
r4586,kung fu noodles,Premium Goose Oil With Crispy Shallot Flakes,Pack,Taiwan,5.0
r4585,acecook,Maruuma Tonkotsu Ramen,Cup,Japan,4.0
r4584,nissin,U.F.O. Koikoi Tarako Yakisoba,Tray,Japan,2.0
r4583,indomie,Mi Goreng Rasa Cabe Ijo,Pack,Indonesia,4.5
r4582,sapporo ichiban,Pokémon Noodles Shoyu Ramen,Cup,Japan,3.75
r4581,indomie,Hype Abis Mi Goreng Rasa Ayam Geprek,Pack,Indonesia,5.0
r4580,maruchan,Ganbare! Jukensei Menzukuri Katsuobushi Kaoru Gyokai Shoyu,Bowl,Japan,3.75
r4579,nongshim,"Bulgogi Hot Pot Flavour Noodle
",Pack,Australia,3.5
r4578,boncabe,Mi BonCabe Rasa Mie Goreng Level 15 Spicy,Pack,Indonesia,4.5
r4577,maruchan,Ganbare! Jukensei Hot Wonton Katsuobushi Kaoru Tamago Soup,Cup,Japan,3.75
r4576,daebak,Kimchi Ramyeon,Pack,Malaysia,5.0
r4575,nongshim,Shin Ramyun Bokkeummyeon,Pack,South Korea,5.0
r4574,new touch,Yokohama Iekei Tonkotsu Ramen,Bowl,Japan,3.5
r4573,daebak,Habanero Spicy Chicken Flavour,Cup,Malaysia,3.75
r4572,mamee chef,Mi Goreng Perisa Rendang Legenda,Cup,Malaysia,5.0
r4571,kung fu noodles,Premium Black Sesame Oil With Mashed Ginger,Pack,Taiwan,5.0
r4570,myojo,"Hyobanya Layered Kakitama Spicy Salt Ramen
",Bowl,Japan,2.0
r4569,daebak,Spicy Mushroom Ramyeon,Pack,Malaysia,4.5
r4568,itsuki,Kumamoto Tonkotsu Ramen,Pack,Japan,5.0
r4567,daebak,Ghost Pepper Spicy Chicken Flavour,Cup,Malaysia,4.0
r4566,nissin,BIG Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,4.5
r4565,dajia,Jiaxu Stirred Noodles ,Pack,Taiwan,5.0
r4564,red chef,Spicy Sakura Prawn Soup,Pack,Malaysia,5.0
r4563,kung fu noodles,Aged Shaoxing Wine With Chicken Drumstick Soup Noodle,Box,Taiwan,5.0
r4562,sapporo ichiban,Pokémon Noodles Tomato Cream Flavor,Cup,Japan,1.5
r4561,daebak,Ghost Pepper Cheese Spicy Chicken Flavour,Pack,Malaysia,4.0
r4560,ramen talk,Tomato Tonkotsu,Pack,China,5.0
r4559,igarashi seimen,Kitakata Light Soy Sauce Flavor,Pack,Japan,4.0
r4558,mamee chef,Mi Goreng Perisa Rendang Legenda,Pack,Malaysia,5.0
r4557,nissin,BIG Cup Noodles Japanese Cheese Curry,Cup,Singapore,1.0
r4556,red chef,Hae Bee Hiam Non-Fried Rice Vermicelli,Pack,Malaysia,5.0
r4555,ah lai,Penang Favourite Hokkien Prawn Noodle,Pack,Malaysia,5.0
r4554,nissin,BIG Cup Noodles Seafood Flavour,Cup,Singapore,4.0
r4553,nissin,Donbei Kitsune Udon Kimetsu no Yaiba,Bowl,Japan,2.0
r4552,nongshim,Bowl Noodles Spicy Kimchi Flavor,Bowl,United States,4.5
r4551,nissin,BIG Cup Noodles Spicy Tonkotsu Flavour,Cup,Singapore,5.0
r4550,gs retail,Premium Gonghwachun Instant Noodle With Black Bean Sauce,Pack,United States,5.0
r4549,ramen talk,Tom Yum Goong,Pack,China,5.0
r4548,new touch,Nostalgic Burnt Soy Sauce Ramen,Bowl,Japan,3.0
r4547,acecook,Wakame Ramen with Mie Ise Shrimp and Soy Sauce Dashi,Bowl,Japan,1.75
r4546,daebak,Rabokki Flavour,Pack,Malaysia,4.0
r4545,sapporo ichiban,Pokémon Noodle Onion Consommé Flavor,Cup,Japan,3.5
r4544,kung fu noodles,Premium Goose Oil With Sichuan Pepper & Hot Chili,Pack,Taiwan,5.0
r4543,itsuki,Kumamoto Spicy Tonkotsu Ramen,Pack,Japan,5.0
r4542,acecook,Gyorantei Kansyuu Yokosuka Kaigun Curry Udon,Cup,Japan,4.25
r4541,uni-president,Science Noodle (Hot Pot version),Pack,Taiwan,3.5
r4540,mamee chef,Perisa Lontong,Pack,Malaysia,5.0
r4539,daebak,Seaweed Flavour Soup Noodle,Pack,Malaysia,4.0
r4538,nissin,Cup Noodle Gyoza Big,Cup,Japan,4.0
r4537,mamee chef,Perisa Laksa Kari,Pack,Malaysia,5.0
r4536,itomen,Seafood & Vegetable Miso Dashi Ramen,Pack,Japan,2.0
r4535,ramen talk,Pepper Crispy Pork Noodles,Pack,China,5.0
r4534,myojo,Kake Ramen Desse Shoyu,Bowl,Japan,3.5
r4533,ottogi,Jin Jjambbong Spicy Seafood Noodle,Pack,South Korea,5.0
r4532,maruchan,Gold Soy Sauce Flavor Craft Ramen Noodles,Pack,United States,4.25
r4531,shoo loong kan,Lan Zhou La Mian,Box,China,4.5
r4530,mykai,Tonkotsu Ramen,Pack,Japan,3.0
r4529,nissin,Demae Ramen Seafood Flavor,Pack,Hong Kong,3.5
r4528,wang,Malatang Udon,Bowl,United States,3.75
r4527,ramen talk,Japanese Style BBQ Pork Tonkotsu Ramen,Pack,China,5.0
r4526,nissin,no Assari Odashi ga Oishii Donbei Agedama Soba,Bowl,Japan,3.75
r4525,nissin,Top Ramen Soy Sauce Flavor Ramen Noodle Soup,Pack,United States,4.0
r4524,acecook,Maruuma Wantan Chuka Soba,Cup,Japan,2.0
r4523,maruchan,Menzukuri Yuzu & Kosho Kaoru Toripaitan,Bowl,Japan,4.0
r4522,sapporo ichiban,CupStar BBQ Chicken Flavor,Cup,Japan,2.0
r4521,nissin,Chow Mein Teriyaki Beef Flavor Chow Mein Noodles,Tray,United States,3.75
r4520,marutai,Ajiyoka tai Tonkotsu Ramen Hakata,Bowl,Japan,3.5
r4519,acecook,"Dashi no Umami de Gennenn Toritaki Udon
",Cup,Japan,4.0
r4518,maruchan,Yakisoba Teiryaki Beef Flavor Japanese Home Style Noodles,Tray,United States,2.5
r4517,nissin,"no Donbei Ontsuyu Osoumen Mini
",Cup,Japan,3.5
r4516,wicked foods,Late Night Rice Noodles,Cup,United States,2.5
r4515,myojo,Charumera Donburi Tokyo Kaidashi Chuka Soba,Bowl,Japan,3.5
r4514,nongshim,Bowl Noodles Ramen Noodles With Seasoning Mix Hot & Spicy Flavor,Bowl,United States,5.0
r4513,urai,Bihun Jagung Corn Vermicelli,Pack,Indonesia,5.0
r4512,wicked foods,Spicy Coconut & Rice Noodles,Cup,United States,2.0
r4511,acecook,Soup Harusame Hakata Mizutaki fu Yuzu Kosho,Cup,Japan,2.75
r4510,myojo,Charumera Cup Miso,Cup,Japan,3.5
r4509,cup o crazy,Gummy Noodles,Cup,United States,0.0
r4508,sapporo ichiban,Pokémon Noodle Corn Butter Shoyu,Cup,Japan,3.5
r4507,mykuali,Penang Black Curry Noodle,Pack,Malaysia,5.0
r4506,a-sha,Mandarin Style Noodle With Original Soy Sauce 40% Reduced Sodium,Box,United States,5.0
r4505,maruchan,GOLD Spicy Miso Ramen,Pack,United States,5.0
r4504,kikkoman,Noodle Kit With Sauce Teriyaki Sesame,Box,United States,0.25
r4503,urai,Original x Ciptarasa Mi Goreng,Pack,Indonesia,5.0
r4502,quickchow,Pancit Canton Toyomansi Flavor,Pack,Philippines,5.0
r4501,pran,Mr. Noodles Instant Noodles Spicy Tomato Flavour,Pack,Bangladesh,3.25
r4500,nissin,Miojo Lamen Doce Sabor Beijinho,Pack,Brazil,3.75
r4499,acecook,Tategata Nomihosu Ippai Sapporo Ebi Miso Ramen,Cup,Japan,3.0
r4498,nissin,Miojo Turma Do Chico Bento Sabor Caldinho De Feijao,Pack,Brazil,3.5
r4497,ottogi,Jin Ramen Veggie,Pack,United States,4.5
r4496,seven&i,Premium x Nissin Star Soupless Tantanmen,Bowl,Japan,5.0
r4495,kolson,Noodle Doodle Fiery Catpata,Pack,Pakistan,3.75
r4494,acecook,Sumatan x Wantanmen Donburi Ebishio Aji,Bowl,Japan,3.25
r4493,miliket-colusa,MiliOne Huong Vi Suon,Cup,Vietnam,3.5
r4492,nissin,Miojo Turma Da Monica Sabor Galinha Suave,Pack,Brazil,3.75
r4491,acecook,Noodle Harusame 1/3 Nichibun Chanpon Aji ,Cup,Japan,5.0
r4490,vite ramen,Roasted Soy Sauce Chicken v3.0,Cup,United States,5.0
r4489,dara urai,Flat x Cipratasa Rasa Ayam Bawang,Pack,Indonesia,5.0
r4488,maruchan,x TRY Toybox Shoyu Ramen,Bowl,Japan,5.0
r4487,nissin,Assari Oishii Cup Noodle Curry,Cup,Japan,3.75
r4486,marutai,Tategata Miyazaki Karamen,Cup,Japan,3.25
r4485,acecook,Soup Harusame Wantan,Cup,Japan,5.0
r4484,nissin,Kanzen Meal Abura Soba,Bowl,Japan,5.0
r4483,samyang foods,Buldak Yakisoba HOT Chicken Flavor Ramen,Pack,South Korea,5.0
r4482,noodlemix,Signature Dry Noodle,Box,Taiwan,5.0
r4481,noodlemix,Chinese Sesame Oil Lion’s Mane Mushroom Pumpkin Konjac Noodle,Bowl,Taiwan,5.0
r4480,myojo,Ramen Spicy Tantanmen,Pack,United States,5.0
r4479,samyang foods,Buldak Stew Type Ramen Soup,Bowl,United States,3.75
r4478,miliket-colusa,"Mi Trung Khong Chien
",Pack,Vietnam,5.0
r4477,norita,"Lo Mein Dan Dan Noodle Spicy Teriyaki
",Box,United States,3.5
r4476,quickchow,"Instant Pancit Canton Chilimansi Flavor
",Pack,Philippines,5.0
r4475,samyang foods,"Rosé Buldak Stir-fried Noodles
",Pack,South Korea,5.0
r4474,nissin,"U.F.O. Singapore Black Pepper Crab Flavour
",Tray,Singapore,4.0
r4473,nissin,Miojo Turma Da Monica Sabor Tomate Suave,Pack,Brazil,3.5
r4472,miliket-colusa,"Mi Huong Vi Lau Thai Tom
",Cup,Vietnam,3.75
r4471,nissin,"U.F.O. Korean Hot Chicken Flavour
",Tray,Singapore,0.0
r4470,predilecta,"Praja! Lamen Sabor Carne
",Pack,Brazil,3.0
r4469,pran,"Mr. Noodles Instant Noodles Beef Flavour
",Pack,Bangladesh,1.0
r4468,vite ramen,Beef Pho v3.0,Pack,United States,3.5
r4467,samyang foods,Buldak Cream Carbonara Artificial Hot Chicken Flavor Ramen,Pack,South Korea,5.0
r4466,maruchan,"Ramen Noodle Soup Creamy Chicken Flavor
",Pack,United States,5.0
r4465,maruchan,"Mukashi Nagara no Chahan Aji Yakisoba
",Tray,Japan,2.25
r4464,samyang foods,"Buldak Carbonara Artificial Spicy Chicken Flavor Ramen
",Cup,United States,5.0
r4463,vite ramen,Vegan Whiite Miso v3.0,Cup,United States,3.5
r4462,7 eleven,"Gold / Myojo Myojo Tomita Tonkotsu Ramen
",Bowl,Japan,3.5
r4461,vite ramen,Garlic Pork Tonkotsu v3.0,Cup,United States,3.75
r4460,myojo,Koize! Ippei-chan Karaage Syoyu Ramen,Cup,Japan,4.5
r4459,samyang foods,Buldak Quattro Cheese Artificial Spicy Chicken Flavor Ramen,Pack,United States,5.0
r4458,paldo,Teus-sae Ramen,Pack,United States,4.0
r4457,vite ramen,Vegan Japanese Curry v3.0,Pack,United States,4.5
r4456,nissin,Chicken Ramen Shirunashi Donburi Junkissa no Napolitan,Bowl,Japan,0.0
r4455,7 eleven,Gold / Maruchan Iida Shoten Ramen,Bowl,Japan,5.0
r4454,vite ramen,Massaman Curry v3.0,Pack,United States,5.0
r4453,maruchan,"Ramen Yokozuna Tonkotsu Shoyu
",Bowl,Japan,5.0
r4452,samyang foods,Buldal Jjamppong,Pack,South Korea,3.75
r4451,vite ramen,Yuzu Shoyu v3.0,Pack,United States,4.75
r4450,myojo,Hiyashi Chuka Mazesoba,Pack,United States,5.0
r4449,myojo,Ippei-chan Yakisoba,Pack,United States,5.0
r4448,vite ramen,Vegan Sichuan Chili Edition v3.0,Pack,United States,5.0
r4447,nissin,"U.F.O. Osaka Takoyaki Flavour Yakisoba
",Tray,Singapore,4.25
r4446,a-sha,BT21 Dan Dan Noodle Dream Team Scallion Sauce,Pack,United States,3.0
r4445,maruchan,Ramen Noodle Soup 45th Anniversary Chicken Flavor,Pack,United States,3.5
r4444,aces,Sriracha Ramen Noodle Soup Original,Pack,United States,3.75
r4443,mom's dry noodle,Wasabi Almond Sauce Noodle With Tapioca,Box,Taiwan,5.0
r4442,aces,Sriracha Ramen Noodle Soup Extra Spicy,Pack,United States,3.75
r4441,a-sha,BT21 Dan Dan Noodle With BT21 Sauce,Pack,United States,4.0
r4440,nissin,Cup Noodles Breakfast Ramen Noodles In Sauce,Cup,United States,3.5
r4439,nissin,Miojo Lamen Sabor Carne,Pack,Brazil,3.5
r4438,samyang foods,Buldak Lovely Hot,Pack,South Korea,4.5
r4437,aces,Sriracha Ramen Noodle Soup Chicken,Pack,United States,4.0
r4436,itsuki,Hakata Tonkotsu Ramen,Pack,United States,5.0
r4435,phonomenal,Bowl Beef,Bowl,United States,5.0
r4434,ippudo,Karaka Spicy Ramen,Box,Japan,5.0
r4433,homiah,Indonesia Rendang / Laksa Noodle,Box,United States,5.0
r4432,annie chun's,Japanese Style Yakisoba Noodle Bowl,Bowl,United States,0.0
r4431,indomie,Mi Keriting Rasa Ayam Panggang,Pack,Indonesia,5.0
r4430,nongshim,Shin Kimchi Big Bowl,Bowl,South Korea,3.75
r4429,kolson,Noodle Doodle Chunky Chicken,Pack,Pakistan,3.75
r4428,homiah,Singaporean Laksa / Laksa Noodle,Box,United States,5.0
r4427,homiah,Malaysian Red Curry / Laksa Noodle,Box,United States,5.0
r4426,sapporo ichiban,Curry Ramen Donburi,Bowl,Japan,4.5
r4425,marutai,Aji Yoka Tai Tonkotsu Ramen Kumamoto,Bowl,Japan,4.75
r4424,dongwon,Spicy Topokki With Rose Sauce,Pack,South Korea,5.0
r4423,bagu,Fresh Hot & Sour Sweet Potato Noodle,Cup,China,4.5
r4422,maruchan,Ramen Noodle Soup Chili Flavor,Pack,United States,3.5
r4421,ottogi,Kimchi Ramen,Pack,South Korea,4.5
r4420,samyang foods,Buldak Cheese Artificial Spicy Chicken Flavor Ramen,Bowl,United States,3.75
r4419,pink rocket,For The Lovely Girls' Original Rapokki,Bowl,South Korea,5.0
r4418,shanshi,Garlic Spicy Noodles,Pack,Taiwan,5.0
r4417,pink rocket,For The Lovely Girls' Mac & Cheese Rapokki,Bowl,South Korea,1.0
r4416,nissin,Talharim Sabor Frango,Pack,Brazil,5.0
r4415,nongshim,Vegan Shin Noodle Soup,Cup,United States,3.5
r4414,baixiang,Big Bone Noodle Soup Spicy Pork Flavor,Pack,China,3.75
r4413,ottogi,Spicy Cheese Ramen,Pack,South Korea,2.5
r4412,sapporo ichiban,Sriracha Yakisoba Japanese Style Noodles,Pack,United States,4.0
r4411,nongshim,Shin Green Mushroom & Fried Tofu,Pack,United States,1.0
r4410,nissin,Nissin Lamen Doce Sabor Chocolate,Pack,Brazil,2.5
r4409,norita,Dan Dan Noodle Meal Kit – Sichuan Style Hot & Spicy Sauce,Box,United States,4.0
r4408,dongwon,Rapokki With Spicy Sauce,Pack,United States,5.0
r4407,a-sha,BT21 Universtar Noodle With Galaxy Spicy Sauce,Pack,United States,5.0
r4406,nongshim,Premium Shin Gold With Chicken Broth,Pack,United States,4.5
r4405,baixiang,Big Bone Noodle Soup Pork Flavor,Pack,China,3.75
r4404,samyang foods,Habanero Lime Buldak Artificial Spicy Chicken Flavor Ramen,Bowl,United States,3.75
r4403,pink rocket,‘For The Lovely Girls’ Carbonara Rabokki,Bowl,South Korea,5.0
r4402,a-sha,BT21 Universtar Noodle With BT21 Sauce,Pack,United States,4.0
r4401,simply food,Phnom Penh Rice Noodles,Bowl,United States,3.0
r4400,kenko foods,Miso Ramen,Pack,Japan,1.5
r4399,little couples,Alishan Oolong Tea Dry Noodle,Pack,Taiwan,3.0
r4398,burung dara,Doroku Bihun Jagung,Pack,Indonesia,5.0
r4397,paldo,Stirfried Kimchi Noodles,Pack,United States,4.0
r4396,nissin,Deka Uma W Mayo Sauce Yakisoba,Tray,Japan,4.5
r4395,wellheim,Seoul Topokki- Jjajang,Bowl,South Korea,3.5
r4394,acecook,Toyama Ken San Shiro Ebi Dashi Shiyou Shio Ramen,Cup,Japan,2.0
r4393,indomie,Mi Gorenbg Original 50th Anniversary,Pack,Indonesia,5.0
r4392,myojo,Charumera Aomori Stamina Gen Tare Mazesoba,Tray,Japan,4.5
r4391,acecook,Super Cup 1.5 Bai Seafood Flavor Setouchi Lemon Shitate Ramen,Bowl,Japan,5.0
r4390,choi,Ramen Noodle Soup Artificial Roasted Chicken Flavor,Pack,United States,5.0
r4389,paldo,Teumsae Jjang Ramen,Pack,United States,4.25
r4388,kikkoman,Noodle Kit With Sauce Black Pepper,Box,United States,0.5
r4387,new touch,Vegan Noodle Tan-Tan Noodle Soup,Cup,Japan,4.0
r4386,myojo,Charumera Cup Consomme Tomato Flavor,Cup,Japan,3.75
r4385,maruchan,Hiyashi Stamina Niku Soboro Soba ,Bowl,Japan,3.5
r4384,acecook,Maru Uma Tottori Gyukotsu Ramen,Cup,Japan,3.0
r4383,sapporo ichiban,Miso Ramen Donburi Ebi Dashi Shitate,Bowl,Japan,3.5
r4382,new touch,Osaka Kasu Yakisoba,Tray,Japan,3.5
r4381,sapporo ichiban,Tabimen Sapporo Miso Ramen,Bowl,Japan,4.0
r4380,tokushima seifun,Kin-Chan Tokushima Ramen,Bowl,Japan,3.75
r4379,marutai,Tategata Takana Ramen,Cup,Japan,3.5
r4378,daebak,Carolina Reaper Spicy Chicken Flavour,Cup,Malaysia,3.5
r4377,myojo,Okinawa Soba,Cup,Japan,4.0
r4376,peyoung,Ikasumi Yakisoba,Tray,Japan,2.0
r4375,acecook,Maruuma Miso Ramen,Cup,Japan,3.25
r4374,myojo,Ippei-chan Yaten no Yakisoba Ninniku Shoyu Aji,Tray,Japan,3.75
r4373,itomen,Yamaimo Soba,Pack,Japan,1.5
r4372,gs retail,You US Omori Kimchi Stew Ramyun,Bowl,South Korea,5.0
r4371,myojo,Shigoku no Ippai Koku Kuro Tonkotsu Ramen,Cup,Japan,3.5
r4370,nissin,Men Shokuhin Yuzu Shio Ramen,Bowl,Japan,1.5
r4369,king david,Non-Fried Instant Noodles Beef Flavor,Cup,China,4.75
r4368,jongga,Hot & Spicy Noodle,Bowl,South Korea,3.5
r4367,kishimen,Boiled Noodle With Bonito Flake,Pack,Japan,4.0
r4366,king david,Non-Fried Instant Noodles Chicken Flavor,Cup,China,5.0
r4365,paldo,King Noodle Spicy Chicken Flavor,Bowl,United States,4.5
r4364,acecook,Saigon Pho Vietnamese Rice Noodles Beef,Bowl,Vietnam,3.75
r4363,takamori kosan,Spaghetti Napolitan,Pack,Japan,4.5
r4362,chilkab farm products,Perilla Seeds Korean Style Pasta,Bowl,South Korea,3.5
r4361,uncle ya,Chongqing Noodles,Pack,China,5.0
r4360,acecook,Arisoude Nakatta Tenshinmen Shoyu,Cup,Japan,3.25
r4359,nu rea,Red Kimchi Udon,Bowl,South Korea,3.5
r4358,acecook,Saigon Pho Vietnamese Rice Noodles Chicken,Bowl,United States,3.5
r4357,shin horng,Hon's Noodle Soup Seasonal Vegetable Flavor,Pack,Taiwan,4.0
r4356,jongga,Seafood Flavored Noodle,Bowl,South Korea,4.5
r4355,thai's asia,Pad Thai Sauce With Noodles,Box,United States,0.0
r4354,uncle ya,Peas Fired Noodles,Pack,United States,3.0
r4353,ottogi,Buckwheat Chilli Noodle,Pack,United States,4.75
r4352,paldo,King Noodle Mild Chicken Flavor,Bowl,United States,4.5
r4351,myojo,Ippeichan Yomise no Yakisoba Mentaiko Flavor,Tray,Japan,3.5
r4350,paldo,Bibim Tteokbokki,Bowl,South Korea,5.0
r4349,paldo,Stir Fried Noodle With Spicy Soy Sauce,Pack,South Korea,4.25
r4348,itomen,Sauce Yakisoba,Pack,Japan,4.75
r4347,guangyou,Instant Noodle Sour Hot Flavor,Cup,China,5.0
r4346,acecook,Hao Hao Mi Goreng Shrimp & Onion Flavor,Pack,Vietnam,4.0
r4345,ching's secret,Pad Thai Noodle Green Curry,Box,India,4.75
r4344,chewy,Quick Serve Macaroni Ham Flavour,Pack,Hong Kong,3.5
r4343,simply food,Soursop Tea Noodles,Bowl,United States,3.0
r4342,simply asia,Sesame Teriyaki Noodle Bowl,Bowl,United States,0.0
r4341,jiangxi,Nanchang Mixed Noodles,Box,China,4.0
r4340,maruchan,Ramen Maikagura Kanshu Truffle Kaoru Toripaitan,Cup,Japan,1.5
r4339,nissin,Men Shokuhin Koidashi Agodashi,Bowl,Japan,2.0
r4338,tokushima seifun,Kim-Chan Ramen Cup Tantanmen,Cup,Japan,5.0
r4337,a-sha,Crazy Rich Ramen,Box,United States,5.0
r4336,maruchan,Gotsumori Nagoya Taiwan Ramen ,Bowl,Japan,3.5
r4335,sapporo ichiban,Meiten no Aji Tenkaippin Kyoto Noukou Toripaitan,Bowl,Japan,5.0
r4334,nissin,no Tantanmen,Cup,Japan,4.0
r4333,oguro shokuhin,AKAGI Niboshi Chuka Soba,Bowl,Japan,4.0
r4332,acecook,Nomihosu Ippai Kyoto Seabura Shoyu Ramen,Cup,Japan,3.75
r4331,myojo,Noodle & Soup Only Kohaku Shellfish Dashi Chuka Soba,Bowl,Japan,5.0
r4330,uncle ya,Hot & Sour Sweet Potato Noodles,Pack,China,4.75
r4329,kishimen,Boiled & Stirred Udon,Pack,Japan,4.25
r4328,maruchan,Pre no Shio Stamina Ninniku Shio Yakisoba,Tray,Japan,4.25
r4327,gui lin,Fresh Rice Noodles Chili Flavor,Pack,China,3.75
r4326,vifon,Chicken Flavor Asian Style Instant Noodle Soup,Pack,Vietnam,3.25
r4325,peyoung,Kyushu Tonkotsu Yakisoba,Tray,Japan,5.0
r4324,simply asia,Spicy Mongolian Noodle Bowl,Bowl,United States,0.0
r4323,uncle ya,Sichuan Cold Noodles,Pack,China,2.75
r4322,maruchan,Osobaya san no Curry Nanban Soba,Bowl,Japan,0.5
r4321,uncle ya,Sour Pepper Beef Flavored Noodles,Pack,China,5.0
r4320,maggi,Pazzta Masala Penne,Pack,India,4.5
r4319,acecook,Ganso Curry Tantanmen Masatora,Cup,Japan,3.75
r4318,knorr,Clam Chowder Pasta,Cup,Japan,3.75
